date,race_id,race_num,formation,n_bets,inv,pay,hit
20260426,202603010602,2,V15+T14_T15_T16_10,10,1000,0.0,0
20260426,202603010602,2,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260426,202603010602,2,V15+T2-T3-T4_8,8,800,0.0,0
20260426,202603010602,2,Box5_10,10,1000,0.0,1
20260426,202603010602,2,Box6_20,20,2000,0.0,1
20260426,202603010602,2,2axis_4,4,700,0.0,0
20260426,202603010603,3,V15_baseline_7,7,700,0.0,0
20260426,202603010603,3,V15+T1-T4-T5_8,8,800,0.0,0
20260426,202603010603,3,V15+T14_T15_T16_10,10,1000,0.0,0
20260426,202603010603,3,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260426,202603010603,3,V15+T2-T3-T4_8,8,800,0.0,0
20260426,202603010603,3,Box5_10,10,1000,0.0,0
20260426,202603010603,3,Box6_20,20,2000,0.0,0
20260426,202603010603,3,2axis_4,4,700,0.0,0
20260426,202603010604,4,V15_baseline_7,7,700,0.0,0
20260426,202603010604,4,V15+T1-T4-T5_8,8,800,0.0,0
20260426,202603010604,4,V15+T14_T15_T16_10,10,1000,0.0,0
20260426,202603010604,4,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260426,202603010604,4,V15+T2-T3-T4_8,8,800,0.0,0
20260426,202603010604,4,Box5_10,10,1000,0.0,0
20260426,202603010604,4,Box6_20,20,2000,0.0,0
20260426,202603010604,4,2axis_4,4,700,0.0,0
20260426,202603010605,5,V15_baseline_7,7,700,0.0,0
20260426,202603010605,5,V15+T1-T4-T5_8,8,800,0.0,0
20260426,202603010605,5,V15+T14_T15_T16_10,10,1000,0.0,0
20260426,202603010605,5,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260426,202603010605,5,V15+T2-T3-T4_8,8,800,0.0,0
20260426,202603010605,5,Box5_10,10,1000,0.0,0
20260426,202603010605,5,Box6_20,20,2000,0.0,0
20260426,202603010605,5,2axis_4,4,700,0.0,0
20260426,202603010606,6,V15_baseline_7,7,700,0.0,0
20260426,202603010606,6,V15+T1-T4-T5_8,8,800,0.0,0
20260426,202603010606,6,V15+T14_T15_T16_10,10,1000,0.0,0
20260426,202603010606,6,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260426,202603010606,6,V15+T2-T3-T4_8,8,800,0.0,0
20260426,202603010606,6,Box5_10,10,1000,0.0,0
20260426,202603010606,6,Box6_20,20,2000,0.0,0
20260426,202603010606,6,2axis_4,4,700,0.0,0
20260426,202603010607,7,V15_baseline_7,7,700,2750.0,1
20260426,202603010607,7,V15+T1-T4-T5_8,8,800,2750.0,1
20260426,202603010607,7,V15+T14_T15_T16_10,10,1000,2750.0,1
